Table 8,,,,,,,,,,,,
NEW JERSEY,,,,,,,,,,,,
Offenses Known to Law Enforcement,,,,,,,,,,,,
"by State by City, 2009 ",,,,,,,,,,,,
City,Population,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson,
Harrington Park,"4,883",0,0,0,0,0,13,2,11,0,0,
Harrison,"15,296",50,0,1,26,23,249,72,132,45,0,
Harrison Township,"12,916",8,0,1,1,6,157,24,131,2,3,
Harvey Cedars,397,2,0,0,0,2,35,11,24,0,0,
Hasbrouck Heights,"11,383",4,0,0,3,1,76,14,61,1,1,
Haworth,"3,416",0,0,0,0,0,12,7,5,0,0,
Hawthorne,"17,972",13,0,0,3,10,250,42,196,12,0,
Hazlet Township,"20,893",6,0,0,4,2,310,30,272,8,2,
Helmetta,"2,031",0,0,0,0,0,12,4,8,0,1,
High Bridge,"3,662",3,0,1,0,2,52,14,37,1,3,
Highland Park,"14,271",11,0,1,6,4,206,31,166,9,0,
Highlands,"5,292",9,0,3,0,6,31,7,24,0,0,
Hightstown,"5,303",8,0,2,1,5,69,21,47,1,0,
Hillsborough Township,"39,265",16,0,5,4,7,266,55,206,5,1,
Hillsdale,"9,822",5,0,0,1,4,57,13,43,1,0,
Hillside Township,"21,108",104,0,12,57,35,592,183,303,106,0,
Hi-Nella,995,7,0,0,1,6,32,12,19,1,2,
Hoboken,"40,792",142,0,3,56,83,"1,052",243,717,92,8,
Ho-Ho-Kus,"3,995",1,0,0,1,0,14,6,8,0,0,
Holland Township,"5,226",0,0,0,0,0,19,7,12,0,0,
Holmdel Township,"17,009",22,0,2,2,18,256,31,222,3,2,
Hopatcong,"15,447",7,0,1,0,6,127,28,97,2,0,
Hopewell,"1,983",0,0,0,0,0,21,5,15,1,0,
Hopewell Township,"17,941",4,0,0,1,3,120,28,85,7,0,
Howell Township,"51,596",62,0,4,19,39,701,163,517,21,3,
Independence Township,"5,705",4,0,0,0,4,33,6,26,1,0,
Interlaken,874,0,0,0,0,0,11,1,10,0,0,
Irvington,"55,838","1,016",17,21,479,499,"2,383",621,"1,102",660,12,
Island Heights,"1,884",1,0,0,0,1,23,3,19,1,1,
Jackson Township,"53,734",34,0,4,12,18,620,148,437,35,20,
Jamesburg,"6,401",7,0,0,4,3,40,15,21,4,0,
Jefferson Township,"21,903",19,0,0,1,18,257,83,170,4,1,
Jersey City,"240,858","1,791",28,49,871,843,"5,984","1,400","3,744",840,59,
Keansburg,"10,527",44,0,3,9,32,272,54,208,10,2,
Kearny,"36,352",91,1,5,38,47,"1,051",134,805,112,9,
Kenilworth,"7,612",7,0,0,4,3,156,20,114,22,0,
Keyport,"7,464",5,0,0,0,5,76,9,66,1,1,
Kinnelon,"9,606",0,0,0,0,0,57,14,43,0,0,
Lacey Township,"26,491",27,0,1,8,18,705,100,590,15,5,
Lake Como,"1,769",9,0,0,0,9,26,2,21,3,0,
Lakehurst,"2,714",6,0,1,1,4,50,5,45,0,0,
Lakewood Township1,"72,206",142,1,7,58,76,,,693,38,5,
Lambertville,"3,727",3,0,0,1,2,48,4,40,4,0,
Laurel Springs,"1,896",12,0,0,1,11,57,15,40,2,0,
Lavallette,"2,764",4,0,0,0,4,102,26,76,0,0,
Lawnside,"2,858",27,2,1,5,19,73,9,51,13,1,
"Lawrence Township, Mercer County","31,913",51,0,10,19,22,782,95,656,31,14,
Lebanon Township,"6,208",4,0,0,0,4,48,12,35,1,0,
Leonia,"8,563",10,0,1,3,6,109,37,69,3,0,
Lincoln Park,"10,604",4,0,0,0,4,60,7,50,3,0,
Linden,"39,131",114,0,6,62,46,"1,186",193,855,138,6,
Lindenwold,"17,496",164,0,9,68,87,655,223,350,82,9,
Linwood,"7,220",13,1,1,4,7,113,39,74,0,0,
Little Egg Harbor Township,"21,291",44,1,11,3,29,418,66,342,10,5,
Little Falls Township,"11,625",7,0,0,1,6,218,29,163,26,0,
Little Ferry,"10,442",12,1,1,3,7,109,28,73,8,0,
Little Silver,"6,111",5,0,0,0,5,88,14,73,1,0,
Livingston Township,"27,722",16,0,1,7,8,379,34,339,6,3,
Loch Arbour,273,1,0,0,0,1,7,2,5,0,0,
Lodi,"23,754",44,0,0,7,37,320,67,228,25,0,
Logan Township,"6,270",8,1,0,2,5,125,24,94,7,0,
Long Beach Township,"3,571",6,0,0,0,6,133,22,110,1,1,
Long Branch,"32,758",129,2,1,60,66,857,170,652,35,1,
Long Hill Township,"8,593",1,0,0,0,1,86,10,73,3,1,
Longport,"1,092",0,0,0,0,0,25,4,21,0,0,
Lopatcong Township,"8,748",6,0,0,2,4,108,13,94,1,0,
Lower Alloways Creek Township,"1,888",0,0,0,0,0,14,2,12,0,0,
Lower Township,"20,060",38,0,5,7,26,432,107,317,8,8,
Lumberton Township,"12,174",18,0,1,7,10,339,43,287,9,2,
Lyndhurst Township,"19,286",11,0,0,6,5,302,29,254,19,2,
